symbol	fitch	fitch.summit
ANKIB1	1.1951277766	1.1951277766
ANKRD17	0	0
ANKRD26	0.7129640995	0.7129640995
ANKRD28	0	0
ANKRD30B	3.6251897375	4.141661386
ANKRD34B	0.8915111203	0.8915111203
ANKRD34C	0	0
ANKRD35	0.1426122369	0.1426122369
ANKRD50	0	0
ANKS3	0.1374651509	0.1374651509
ANO5	1.092418217	1.092418217
ANXA8	0.5324373241	0.5324373241
AP1AR	0.2135355942	0.2135355942
AP1M1	0	0
AP3D1	0	0
APBA1	0.4083758291	0.4083758291
APBA2	0.557180433	0.557180433
APC	0.1105276602	0.1105276602
APCDD1L	1.3391169451	1.3391169451
APEX1	0.1714089231	0.1714089231
APOB	0.1136096137	0.1136096137
AQP2	0.5206633584	0.5206633584
AQR	0	0
ARAP2	0.0915480799	0.0915480799
AREG	0.3329728902	0.3329728902
ARFGEF2	0.04169252645	0
ARFGEF3	0.2546897293	0.2546897293
ARGFX	1.72743456065	2.3344777462
ARHGAP11A	0.289927008	0.289927008
ARHGAP15	0.1605454435	0
ARHGAP21	0.7583553699	0.7583553699
ARHGAP32	0	0
ARHGAP33	0.5627928633	0.5627928633
ARHGAP35	0.1931658688	0.1931658688
ARHGAP44	0.1105206973	0.1105206973
ARHGAP6	0.1855096381	0.1855096381
ARHGEF18	0.9086509362	0.9086509362
ARHGEF3	0.7022405335	0.7022405335
ARID2	0.0839116454	0.0839116454
ARID3A	0.6378643689	0.6378643689
ARL4D	0.2760009196	0.2760009196
ARL5B	0	0
ARMCX1	0	0
ARRB2	0.2022959171	0.2022959171
ARRDC3	0	0
ART3	2.2084366698	2.2084366698
ART5	0.2392251784	0.2392251784
ASAH2	0.9422030655	0.9422030655
ASB16	0.9048192483	0.9048192483
ASCC3	0.1881349142	0.3762698284
ASMTL	1.1524652456	1.1524652456
ASPG	1.5661179772	1.5661179772
ASPH	0	0
ASPM	0.8510036129	0
ASPRV1	0.2018302777	0.2018302777
ASTE1	1.090687027	1.090687027
ASTN1	0	0
ASXL3	0.43372487956	0
ATAD5	0.6872409424	0.6872409424
ATF4	1.0579389804	1.0579389804
ATF6	0	0
ATF7IP	0.45125362595	0.6537768032
ATG2B	0.4040642806	0.4040642806
ATP10B	0.2162594213	0.2162594213
ATP11A	0.0954418591	0.0954418591
ATP11C	0.189395715	0.189395715
ATP13A2	1.0587714401	1.0587714401
ATP13A5	0.7682581101	0.7682581101
ATP1A2	0	0
ATP1A3	0	0
ATP1A4	0.8187936059	0.8187936059
ATP1B4	0	0
ATP2A1	0	0
ATP2A2	0	0
ATP2A3	0	0
ATP2C2	0.91088307155	1.8217661431
ATP6V0A1	0.27441505	0.27441505
ATP6V0A4	0.1438667173	0.1438667173
ATP6V1A	0.1694877335	0.1694877335
ATP8A1	0.0873420038	0.0873420038
ATP8A2	0.5848829401	0.5848829401
ATP8B2	0.1671327652	0
ATR	0	0
ATRX	0	0
ATXN2L	0	0
ATXN3L	0.24686567	0.24686567
AUTS2	0.494131692	0.494131692
AVPR1A	0.1826897281	0.3653794562
AZGP1	0.9075763567	0.9075763567
B3GALT4	1.5764074165	1.5764074165
BAAT	0.9379449743	0.9379449743
BACH2	0.0965235499	0.0965235499
BBS9	1.3828965506	1.3828965506
BCAN	0.1921163334	0.1921163334
BCAR1	0.6347457272	0.6347457272
BCAT1	0.66024138615	1.3204827723
BCHE	0	0
BCL2L1	0.8498244422	0.8498244422
BCL3	0.1309684277	0.1309684277
BCL7B	0	0
BCOR	0.364319894	0.364319894
BCR	0.276636269	0.276636269
BDKRB2	1.7663271469	1.7663271469
BDP1	2.0208364404	2.0208364404
BECN1	0	0
BEX5	1.2491555708	1.2491555708
BFAR	0.2793341605	0.2793341605
BICD1	0	0
BLOC1S4	0.3381050093	0.3381050093
BMT2	0.6972241415	0.6972241415
BPIFB4	0.9135812996	0.9135812996
BPIFB6	0.166029363	0.166029363
BRAF	0	0
BRINP1	0.1930758557	0.1930758557
BRPF1	0.090656867	0
BRSK2	0.1016667966	0.1016667966
BSN	0.1927682416	0.1927682416
BTAF1	0	0
BTBD16	0.3463328203	0.3463328203
BTD	0.3302689058	0.3302689058
BZW2	0.4010606289	0.4010606289
C10orf120	1.24170892865	1.4474419359
C12orf49	0.3203362591	0.3203362591
C12orf50	0.5414051304	0.5414051304
C12orf57	0	0
C12orf65	0.359347873466667	0.5390218102
C14orf159	0.1153358372	0.1153358372
C16orf59	0.4754840428	0.4754840428
C16orf71	1.6016396519	1.6016396519
C16orf89	1.7122105151	1.7122105151
C16orf90	0.3506168139	0.3506168139
C17orf53	1.149334322	1.149334322
C17orf78	0.6483773816	0.6483773816
C18orf25	0	0
C19orf44	2.4600900706	2.4600900706
C1orf158	0.6016742187	0.6016742187
C1orf226	1.119118612	1.119118612
C1orf54	0.7830313964	0.7830313964
C1orf87	1.1735039243	1.1735039243
C1S	0.3978296404	0.3978296404
C21orf62	0.8008018696	0.8008018696
C22orf31	1.0614567539	1.0614567539
C2CD2L	0	0
C2CD5	0	0
C2orf54	1.6465508054	1.6465508054
C2orf71	1.0230707266	1.2844630186
C3orf20	0.93499055545	1.3312361926
C5orf42	1.0667906989	1.0667906989
C5orf49	0.5500272722	0.5500272722
C6	0.6383943106	0.6383943106
C6orf222	1.386233866	1.386233866
C6orf58	2.1128534914	2.1128534914
C7orf33	1.5889948336	1.5889948336
C7orf34	0.9658896085	0.9658896085
C7orf72	1.1383320638	1.1383320638
C8orf22	0.4584062772	0.4584062772
C8orf34	0	0
C9orf57	1.2601620253	1.2601620253
CABIN1	0.0923679077	0.0923679077
CABLES2	0.04217996165	0.0843599233
CACNA1C	0	0
CACNA1E	0	0
CACNA1F	0.04686587725	0.0937317545
CACNA1I	0	0
CACNB3	0	0
CADM3	0.2500713016	0.2500713016
CADPS	0.1704261685	0.1704261685
CADPS2	0	0
CALB2	0	0
CALCA	0.5639976605	0.5639976605
CAND1	0	0
CANX	0.5863800664	0.5863800664
CAPN14	1.2405851989	1.2405851989
CAPN2	0	0
CARD11	0.4008869624	0.4008869624
CARD14	0.5584138589	0.5584138589
CARMIL3	0	0
CARNMT1	0.0453697741	0.0907395482
CASS4	0.0832927906	0.0832927906
CATSPERG	1.070186009	1.070186009
CBL	0.0815832968	0.0815832968
CCDC121	1.437084357	1.437084357
CCDC149	0.3917289565	0.3917289565
CCDC168	1.7956174933	2.2240332207
CCDC170	0.1055341919	0.1055341919
CCDC171	0.112348442	0.112348442
CCDC186	0.6446132799	0.6446132799
CCDC39	1.8368374068	1.8368374068
CCDC53	1.6508781571	1.6508781571
CCDC54	1.65221765205	1.0816240369
CCDC62	0.7003367569	0.7003367569
CCDC73	2.2121909761	2.2121909761
CCDC77	1.0381553226	1.0381553226
CCDC81	1.3089570623	1.3089570623
CCDC88B	0.8435945361	0.8435945361
CCDC88C	0.983867094	0.983867094
CCIN	0	0
CCNF	1.4704060563	1.4704060563
CCR4	0.2531120549	0.2531120549
CCSER1	0.1863312952	0.1863312952
CD163L1	1.42874194845	1.1101289554
CD1A	2.0442846571	2.0442846571
CD1C	1.0571785596	1.0571785596
CD1E	2.3000104938	2.3000104938
CD209	2.3813861334	2.3813861334
CD248	0	0
CD300A	1.4538724438	1.4538724438
CD63	0.3519296479	0.3519296479
CD83	0.9268611975	0.9268611975
CD9	0	0
CD93	0.8480732389	0.8480732389
CDC37	0.2432269207	0.2432269207
CDC42BPB	0	0
CDC7	0	0
CDC73	0	0
CDCA2	1.0112573164	1.0112573164
CDCP1	0.31606439095	0.1403578311
CDH12	0.0962406015	0.0962406015
CDH3	0.4695157068	0.4695157068
CDH4	0.251146874766667	0.7534406243
CDH5	0.0991736947	0.0991736947
CDK13	0.09776185	0.09776185
CDK19	0	0
CDKL5	0.1047806169	0.1125098207
CDKN2AIPNL	0.1092984211	0.1092984211
CDR1	1.0752653486	1.0752653486
CDT1	0.7917833475	0.7917833475
CDX4	0.3263401184	0.3263401184
CEACAM6	0.6201815768	0.6201815768
CEL	0.5989449585	0.5989449585
CELF1	0	0
CEP104	0.8986715708	0.8986715708
CEP128	0.1527767025	0.1112276035
CEP152	1.1572896841	1.1572896841
CEP290	0.3013560116	0.3013560116
CEP295	0.4259997896	0.4259997896
CEP350	0	0
CERS3	0.4502000689	0.4502000689
CFAP46	1.1563673311	1.1563673311
CFAP47	1.1150601941	1.1150601941
CFAP52	0.1427723769	0.1427723769
CFAP58	0.3568217813	0.3568217813
CFAP77	0.3614906864	0.3614906864
CFTR	0	0
CHAF1A	1.9869138795	1.9869138795
CHD2	0.0275117960333333	0
CHD3	0.4754083728	0.4754083728
CHD5	0	0
CHD7	0.480260524	0.480260524
CHEK2	1.0452968957	1.0452968957
CHKB	0	0
CHL1	0.911387975	0.911387975
CHMP3	0.2487422761	0.2487422761
CHMP4C	0.2786636443	0.2786636443
CHPT1	0.25814072695	0.3352838658
CHRFAM7A	0.1195086236	0.1195086236
CHRNA3	0	0
CHRNA9	0.0829296663	0.0829296663
CHRNB2	0.0872936727	0.0872936727
CHRNB3	0	0
CHST5	0.5323929145	0.5323929145
CHST8	0	0
CHSY3	0.1012483517	0.1012483517
CIC	0.1133199049	0.1133199049
CIDEA	0.2880872466	0.2880872466
CILP2	1.3725262159	1.3725262159
CKM	0.1938130044	0.1938130044
CLASP1	0	0
CLCN1	0	0
CLDN1	1.0740118576	1.0740118576
CLEC1A	3.055328952	3.055328952
CLEC4F	0.226173882	0.226173882
CLEC5A	1.8903369337	1.8903369337
CLK1	0.1822834161	0.2705067809
CLSTN2	0.2098600873	0.2098600873
CLTB	0.0941286058	0.0941286058
CLUH	0	0
CMYA5	1.57408536483333	1.86675611855
CNBD1	1.614644363	1.614644363
CNGA2	0	0
CNGB3	0.6832800684	0.6832800684
CNPY2	0	0
CNTD1	0.3876172191	0.3876172191
CNTN3	0.19850543275	0.3970108655
CNTN5	0.1952711193	0.3905422386
CNTNAP4	0	0
CNTNAP5	0.418290317757143	0.7329312612
COG3	0.2941438893	0.2941438893
COL11A1	0	0
COL19A1	0.325515182	0.325515182
COL1A1	1.1487027523	1.1487027523
COL1A2	0	0
COL20A1	0.30506226595	0.453295047
COL22A1	1.4737381959	1.4737381959
COL25A1	0.3050231916	0.4752357954
COL4A6	0.08412966265	0
COL5A1	0.0602600564333333	0
COL5A2	0	0
COL6A6	0.145546552	0.145546552
COPB2	0	0
COQ8B	0	0
CORIN	2.691081817	2.691081817
COX4I1	0	0
COX6B1	0	0
CP	0.8371498063	0.8371498063
CPA1	1.3608356931	1.3608356931
CPED1	1.105697406	1.105697406
CPN1	0.9686582028	0.9686582028
CPNE6	0.1957520628	0.1957520628
CPNE9	0.0893814961	0.0893814961
CPSF3	0	0
CRACR2A	0.1464036938	0.1792445559
CRB1	0.3646613937	0.3646613937
CREB3L1	0	0
CREB3L3	0.9158275143	0.9158275143
CRELD2	0.7522989315	0.7522989315
CRIM1	0.0364782510333333	0
CRISPLD1	0.1857375825	0.1857375825
CRTC3	0	0
CRYBG3	0.4504085882	0.4504085882
CSAD	0.4332680073	0.4332680073
CSF2RB	2.4240240926	2.4240240926
CSMD1	0.1704236946	0.1717357773
CSMD3	0.1950964089	0.2065084867
CSN1S1	1.37782352145	1.5330580983
CSNK1G1	0	0
CSPP1	1.4206561598	1.4206561598
CST9	2.4576899891	2.4576899891
CT47B1	2.4162916045	2.4162916045
CTBS	0.1753905795	0.1753905795
CTDSP2	0	0
CTLA4	0.1404678253	0.1404678253
CTNNB1	0	0
CTSD	0.2115153616	0.2115153616
CUEDC2	0.4159925421	0.4159925421
CUL3	0	0
CUL9	1.3955271851	1.3955271851
CUTA	1.6685274224	1.6685274224
CUX1	0.1437754021	0
CXorf21	0.5822798274	0.5822798274
CXorf38	0	0
CYP20A1	0.1326572061	0.1326572061
CYP26C1	0.548245614	0.548245614
CYP2B6	1.3193137458	1.3193137458
CYP4A22	0.79901149925	0.4882313064
CYP4F11	1.793440813	1.793440813
CYP4F8	0.1308196768	0.1308196768
CYSLTR2	0	0
DAAM1	0.16755667185	0
DAB2	0	0
DACH2	0.6868944253	0.6868944253
DACT1	0.6412042675	0.7358475183
DAO	0.5895914122	0.5895914122
DBH	0.4329591916	0.4329591916
DBN1	0.59579266115	0
DCAF1	0	0
DCAF11	0.1465190517	0.1465190517
DCAF8L1	0.7337182419	0.7337182419
DDO	1.1697117713	1.1697117713
DDX18	0.0872150119	0.0872150119
DDX27	0	0
DDX39A	0.0994070568	0.0994070568
DDX53	0.2639154362	0.2639154362
DDX60L	2.5582096625	2.5582096625
DECR2	0	0
DENND2C	0.4959391879	0.4959391879
DENND4B	0	0
DGAT2L6	0	0
DGCR8	0.4720052283	0.4720052283
DGKD	0.0931350352	0.0931350352
DGKK	0.2641863444	0.2641863444
DGKZ	0	0
DHCR7	0.231302356	0.231302356
DHRS9	0	0
DHX57	0.1694404348	0.1694404348
DIAPH3	0.0914036177	0.0914036177
DIDO1	0	0
DIO3	0.2135616336	0.2135616336
DIP2B	0	0
DISP3	0.3134639408	0.6269278816
DKC1	0.1757843365	0.1757843365
DLC1	0	0
DLEC1	0.26280186735	0.5256037347
DLG2	0.1793630442	0.1793630442
DLGAP3	0.0925232344	0.0925232344
DLX1	0	0
DMD	0.9192370065	0.9192370065
DMRTC2	0.6172734087	0.6172734087
DMXL1	0.9803315109	0.9803315109
DMXL2	0.189577988	0.379155976
DNAH1	0.09023843965	0.0914358529
DNAH17	0.67811069065	0.8353067455
DNAH3	1.2091547525	1.2091547525
DNAH5	0.38018059435	0.4498878879
DNAH7	0	0
DNAJA2	0.1633137937	0.1633137937
DNAJB2	0.6192269472	0.6192269472
DNAJC13	0.0897180431	0
DNAJC14	0.7932084136	0.7932084136
DNASE1	0.2057744001	0.2057744001
DNHD1	0.84411746225	1.3507533236
DNMT3B	0.9234844639	0.9234844639
DNPEP	1.0752244016	1.0752244016
DOCK2	0.150399705266667	0.1841946953
DOPEY1	0	0
DOPEY2	0.1801933781	0.1801933781
DPP10	0	0
DPP3	0.1866589788	0.1866589788
DPYD	0.1442993947	0.1442993947
DSC2	0.5585951513	0.4073512231
DSC3	0.6503148608	0.6503148608
DSCAM	0.5735976446	0.5735976446
DSG1	0.3532039633	0.1181749393
DST	0.1643798282	0.1643798282
DTHD1	0.4474866576	0.4474866576
DUOX2	0.2830637576	0.2830637576
DUSP6	0.1646308417	0.1646308417
DYNC1H1	0	0
DZIP3	0.5933141798	0.5933141798
E2F3	1.2191743946	1.2191743946
ECE2	0.1015182563	0.1015182563
ECEL1	0.0960607411	0.0960607411
ECHDC3	0	0
ECT2L	0.1537809034	0.1537809034
EDRF1	0	0
EEA1	0	0
EEF2	0.3542583716	0.3542583716
EGFLAM	0.1812638605	0.1812638605
EGFR	1.1031999373	0.9810271315
EGR2	0.2779831507	0.2779831507
EGR3	0	0
EHMT2	0	0
EIF1	0.1005061591	0.1005061591
EIF2D	0.8879141565	0.8879141565
EIF4G3	0	0
EIF5AL1	0.1819053972	0.1819053972
ELK4	0	0
EML3	0.1870882363	0.1870882363
ENAM	1.1704393829	1.1704393829
ENC1	0.0415181045	0
ENKD1	1.1941799577	1.1941799577
ENO2	0	0
ENPEP	0.0983056916	0.1966113832
ENPP2	0.0881205948	0.1762411896
ENPP5	0	0
ENTPD4	0.2942562937	0
EPB41	0.2827501486	0.2827501486
EPG5	0.3495172337	0.3495172337
EPHA1	0.0898151747	0.0898151747
EPHA10	0.8959069828	0.7699945446
EPHA8	0	0
EPHB1	0.2497288985	0.2497288985
EPHB3	0.1095853662	0.1095853662
EPHB4	1.4299807086	1.4299807086
EPN3	0.0886224465	0.0886224465
EPRS	0.8345333614	0.8345333614
EPS8	0.1009470244	0.1009470244
ERBB4	0.1662846692	0.1662846692
ERCC1	0	0
ERCC5	0	0
ERCC6	0.3879607628	0.3879607628
ERF	0	0
ERG	0	0
ERICH1	0.3598592159	0.3598592159
ERICH3	1.0643585696	1.0643585696
ESAM	0.6791205299	0.6791205299
ESPN	0.098351027	0.098351027
ESYT1	0.2464744298	0.2464744298
EVPL	0.5280872671	0.8014208301
EXD1	0	0
EXD2	0.0841464475	0.0841464475
EXOC3	0.098927282	0.098927282
EYA1	0	0
F13A1	0.6611978551	0.6611978551
F5	0.8678783566	0.4409686706
F8	1.530030482	1.530030482
FABP2	0.1086790077	0.1086790077
FADD	0.5434636897	0.5434636897
FAM114A2	1.4488732475	1.4488732475
FAM124B	1.1864488918	1.1864488918
FAM160A1	0	0
FAM161B	0.0942568278	0.0942568278
FAM167A	0.1026359583	0.1026359583
FAM171A1	0.6220166526	0.6220166526
FAM171B	0.6400888955	0.6400888955
FAM179A	0.7338570067	0.7338570067
FAM189A1	0.47855508525	0
FAM196B	0.8207235992	0.8207235992
FAM19A5	0	0
FAM208A	0.3793744242	0.3793744242
FAM25C	0	0
FAM43A	0.10257799	0.10257799
FAM47A	0.9572636046	0.9572636046
FAM47C	1.6345514647	2.1342257242
FAM63B	0.0842019324	0.0842019324
FAM81B	0	0
FAM9A	2.85556549715	2.85556549715
FANCF	0.1458935205	0.1458935205
FANCI	1.1998106356	1.1998106356
FANCM	0.3519219938	0.7038439876
FASN	1.4272999665	1.4272999665
FASTKD5	0.3464041131	0.3464041131
FAT1	0.5974885848	0.5974885848
FAT4	0.22615967215	0.4523193443
FATE1	2.8676500635	2.8676500635
FBLN2	2.2192109995	2.2192109995
FBLN7	0.3835893569	0.3835893569
FBN2	0.30647651255	0.18184851195
FBN3	0.7232207235	0.6117017318
FBRS	0.1764772736	0.1764772736
FBXL13	0.3344284378	0.3344284378
FBXO10	0.6539136686	0.6539136686
FBXO11	0	0
FBXO16	0.9491714472	0.9491714472
FBXO18	1.0155427549	1.0155427549
FBXO8	0.053681539	0.107363078
FBXO9	0.6732278167	0.6732278167
FBXW8	0.1315596289	0.1315596289
FCRL5	0.4364560381	0.4364560381
FDFT1	0.0843211059	0.0843211059
FDXR	0.4308450595	0.4308450595
FEZF1	0	0
FGF19	0	0
FGF23	0	0
FGF3	1.7462443444	1.7462443444
FGFBP2	1.0226714325	1.0226714325
FGFR1OP	0.8488231774	0.8488231774
FHAD1	0.8096553014	0.8096553014
FIBIN	0	0
FILIP1	0.2649071884	0.2649071884
FKBP10	0.2572602487	0.2572602487
FKBP4	0.65750777545	0.088075882
FKBPL	0.487169775	0.487169775
FLCN	0.2049151774	0.2049151774
FLG	2.13408415915	1.3195200114
FLG2	1.7983826654	1.7983826654
FLI1	0.143093042	0.143093042
FLNA	0.2457030026	0.2457030026
FLNC	0	0
FLT3	0.9399600517	0.9399600517
FLT4	0.236964145366667	0.7108924361
FMNL2	0.2177650792	0.2177650792
FNDC1	0.41163611015	0.1815352179
FOXC2	0.7757939004	0.7757939004
FOXG1	0.1013850927	0.1013850927
FOXP2	0.0830304176	0.0830304176
FPGS	0.4018004679	0.4018004679
FPR1	0	0
FRAS1	0.1371979119	0.2743958238
FREM2	0	0
FRG2C	1.9107452671	1.9107452671
FRMD4B	0	0
FRMD7	0.1789301035	0.1789301035
FRMPD1	0	0
FRMPD4	0.429218977666667	0.5509775444
FSTL4	0.4662508409	0.4662508409
FSTL5	0.669123338566667	0.9067386641
FTO	0.7699173282	0.7699173282
FUCA1	0	0
FUT3	0.3049492938	0.4752335971
FUT6	0.4150948409	0.4150948409
FXR2	0.1886621055	0.1886621055
FYB	0.36001237	0.36001237
FZD8	0	0
FZR1	0	0
G6PC3	0	0
G6PD	0.4043622601	0.4043622601
GABRA1	0.2488057634	0.2488057634
GABRA2	0.1802590098	0.2753849882
GABRB1	0	0
GABRB2	0.0865619498	0.0865619498
GABRB3	0	0
GABRR2	0.4169949807	0.4169949807
GAL3ST2	0.480477941	0.480477941
GALK2	1.4777337541	1.4777337541
GALNT12	0	0
GALNT5	1.4724454654	1.4724454654
GALNTL6	0.6377566128	0.6377566128
GARS	0.1838383818	0.1838383818
GAS2L2	1.4032084361	1.4032084361
GAS6	0.1018217334	0.1018217334
GAS8	0.2747918841	0.2747918841
GATA1	0.6324234657	0.6324234657
GATA4	0.6299322117	0.6299322117
GCM1	0.0910519514	0.0910519514
GCN1	0.18216334825	0.3643266965
GET4	0.1788008045	0.1788008045
GFRA1	0.08306977115	0.0831047123
GIPC1	0.1101484382	0.1101484382
GIPR	0	0
GK2	0	0
GLI2	1.1691911127	1.1691911127
GLIPR1	1.1799755784	1.1799755784
GLMN	0.8617950378	0.8617950378
GLRA1	0	0
GLRB	0.0976289825	0.0976289825
GMEB1	0.2121558289	0.2121558289
GMPS	0.2563523909	0.2563523909
GNAL	0	0
GNAS	0.0863263469	0
GNE	0.5107844996	0.5107844996
GNL2	0.3290009122	0.3290009122
GNPDA1	0.0943407173	0.0943407173
GNS	0	0
GOLGA3	0	0
GOLGA4	0.568074383033333	0.3750187275
GOLGA6D	1.1639370403	1.1639370403
GOT2	0	0
GPA33	0.1900212615	0.1900212615
GPAM	0.26653588515	0.2404437148
GPANK1	0.3943576889	0.3413506357
GPAT2	0.2305663678	0.2305663678
GPATCH2	0	0
GPNMB	0	0
GPR137	0.3581048376	0.3581048376
GPR141	0.533973532	0.533973532
GPR142	0.5176654902	0.5176654902
GPR173	0	0
GPR182	1.0434206761	1.0434206761
GPR19	0.27876250635	0
GPR50	0.8544292943	0.8544292943
GPR68	0.0864333893	0.0864333893
GPR82	0.49920272005	0.8534017875
GPRASP2	0.3013553154	0.3013553154
GPRIN1	1.06964443	1.06964443
GPT	0.985791891	0.985791891
GRID2IP	0	0
GRIK1	0	0
GRIN1	0	0
GRIN2B	0.66738772375	0.0848601009
GRIN2D	0.2819710529	0.2819710529
GRIN3A	0.587094013	0.587094013
GRK4	0.2188365772	0.2188365772
GRM1	0.0930052171	0.0930052171
GRM3	0	0
GRM5	0	0
GRM6	0	0
GTF2IRD1	0	0
GTSF1	0.2173603069	0.2173603069
GUCY2F	0.2068152234	0.2068152234
GZMB	2.4057572361	2.4057572361
H3F3A	0.0957538528	0.0957538528
HACE1	0	0
HADHB	0.7962418799	0.7962418799
HAGH	0.6000673876	0.6000673876
HAUS5	0.6653374703	0.6653374703
HAVCR1	1.16936004485	0.9542737901
HCAR1	0	0
HCFC1	0	0
HCN1	0.1714687637	0.1714687637
HDAC1	0.0945687735	0.0945687735
HDHD3	0.5658502579	0.5658502579
HEATR1	0.5422077071	0.5422077071
HEATR9	2.340808528	2.340808528
HEBP2	0.9719942086	0.9719942086
HECTD1	0.32420281235	0.0877094194
HECW1	0.0816332928	0.0816332928
HECW2	0.1052606095	0.1052606095
HEXIM2	1.8195638596	1.8195638596
HFM1	1.2255275551	1.2255275551
HHIPL2	0.6236270183	0.6236270183
HIPK3	0.096001407	0.096001407
HIST1H1A	0.1980488034	0.1980488034
HIST1H1E	0.2433431922	0.091469692
HIST1H2AG	0	0
HIST1H3B	0	0
HIST1H3E	0	0
HIST1H3F	0	0
HIST1H3H	0	0
HIST1H4B	0.09579532295	0.1915906459
HIST1H4E	0	0
HIVEP1	0.4571803512	0.4571803512
HK2	0.05071436765	0.1014287353
HK3	0.3592807702	0.3592807702
HKDC1	0.04423798085	0.0884759617
HLA-F	0.6105736706	0.6105736706
HLTF	0.1165565302	0.1152097491
HMCN1	0.303317054666667	0.5659481452
HMGCS2	0.7196490827	0.7196490827
HMMR	0.3064548274	0.3064548274
HNF4A	0	0
HNRNPA1	0.1320104653	0.1320104653
HNRNPF	0.208670211	0.2117400319
HNRNPH2	0.1024764248	0.1024764248
HNRNPLL	0.2008655497	0.2008655497
HOMER1	0	0
HOMER2	0.1004808814	0.1004808814
HOOK1	0.4257965429	0.4257965429
HOXA9	0	0
HOXC4	0	0
HPCAL4	0.274241635	0.274241635
HRG	1.87554763645	2.2678524209
HRNR	1.5283777722	1.5283777722
HS3ST2	0.1029547922	0.1029547922
HS6ST2	0.3901593616	0.3901593616
HSD11B1	0	0
HSD17B4	0	0
HSF1	0.1039615267	0.1039615267
HSP90AB1	0.0920470265	0.0920470265
HSPA12A	0	0
HSPA13	0	0
HSPA2	0	0
HSPG2	0.59734994865	0.2122101475
HTR3D	1.7523550776	1.7523550776
HUNK	0.1473894745	0.1473894745
HUWE1	0	0
HYAL4	1.1878649079	1.1878649079
HYDIN	0	0
IAPP	1.1357475256	1.1357475256
IARS	0.3031625003	0.3031625003
IBTK	0	0
ICE2	0	0
ICK	1.4928665239	1.4928665239
IDI1	0	0
IFIT1B	0.5950007324	0.5950007324
IFNA1	2.0361005722	2.0361005722
IFNA8	1.9346274863	1.9346274863
IFRD2	0.0995064975	0.0995064975
