symbol	syn.obs	missense.obs	nonsense.obs	fs.obs	inframe.obs	max.missense	max.nonsense	max.prot	cds.id	length	total.mut.cnt	prot.mut.cnt	total.mut.pct	prot.mut.pct	score.max_cnt	score.mult_pct	score.max_pct	max.peak.cnt	multiple.cnt	summit.start	summit.end	wt.stop	fitch	fitch.summit
ABCD4	0	1	0	0	0	NA	NA	NA	ENST00000356924	5454	1	1	0.0183351668500183	0.0183351668500183	1	0	1	0	0	163	163	0	0.8042303949	0.8042303949
ABCF1	0	1	0	0	0	NA	NA	NA	ENST00000326195	7605	1	1	0.0131492439184747	0.0131492439184747	1	0	1	0	0	706	706	0	0.093629268	0.093629268
ABHD3	0	1	0	0	0	NA	NA	NA	ENST00000289119	3681	1	1	0.0271665308340125	0.0271665308340125	1	0	1	0	0	199	199	0	0	0
ABI1	0	1	0	0	0	NA	NA	NA	ENST00000376142	4572	1	1	0.0218722659667542	0.0218722659667542	1	0	1	0	0	405	405	0	0.3446732261	0.3446732261
ABL1	1	0	0	0	0	NA	NA	NA	ENST00000318560	10170	1	0	0.00983284169124877	0	0	NA	NA	0	0	0	0	0	NA	NA
ABLIM1	1	0	0	0	0	NA	NA	NA	ENST00000277895	7002	1	0	0.0142816338189089	0	0	NA	NA	0	0	0	0	0	NA	NA
ABLIM3	0	1	0	0	0	NA	NA	NA	ENST00000309868	6147	1	1	0.0162680982593135	0.0162680982593135	1	0	1	0	0	466	466	0	0.5119677583	0.5119677583
ABR	1	0	0	0	0	NA	NA	NA	ENST00000302538	7731	1	0	0.0129349372655543	0	0	NA	NA	0	0	0	0	0	NA	NA
ACADS	0	1	0	0	0	NA	NA	NA	ENST00000242592	3708	1	1	0.0269687162891046	0.0269687162891046	1	0	1	0	0	331	331	0	0	0
ACAP1	0	1	0	0	0	NA	NA	NA	ENST00000158762	6660	1	1	0.015015015015015	0.015015015015015	1	0	1	0	0	529	529	0	0	0
ACBD6	1	0	0	0	0	NA	NA	NA	ENST00000367595	2538	1	0	0.0394011032308905	0	0	NA	NA	0	0	0	0	0	NA	NA
ACOT9	0	1	0	0	0	NA	NA	NA	ENST00000336430	3951	1	1	0.0253100480890914	0.0253100480890914	1	0	1	0	0	21	21	0	0.4260147618	0.4260147618
ACPP	0	1	0	0	0	NA	NA	NA	ENST00000336375	3474	1	1	0.0287852619458837	0.0287852619458837	1	0	1	0	0	202	202	0	0	0
ACSL1	0	3	0	0	0	4.99999947713978	-4.99561705154771	NA	ENST00000281455	6282	3	3	0.0477554918815664	0.0477554918815664	1	0	0.333333333333333	0	0	436	436	0	0.4210416054	0.4210416054
ACSL3	1	1	0	0	0	NA	NA	NA	ENST00000357430	6480	2	1	0.0308641975308642	0.0154320987654321	1	0	1	0	0	408	408	0	0.165618248	0.165618248
ACTG1	0	2	0	0	0	NA	NA	NA	ENST00000331925	3375	2	2	0.0592592592592593	0.0592592592592593	1	0	0.5	0	0	81	81	0	0.0509271128	0.0509271128
ACTN1	0	1	0	0	0	NA	NA	NA	ENST00000193403	8028	1	1	0.0124564025909317	0.0124564025909317	1	0	1	0	0	602	602	0	0.5936002935	0.5936002935
ACTN2	0	1	0	0	0	NA	NA	NA	ENST00000366578	8046	1	1	0.0124285359184688	0.0124285359184688	1	0	1	0	0	362	362	0	0	0
ACTR5	0	1	0	0	0	NA	NA	NA	ENST00000243903	5463	1	1	0.0183049606443346	0.0183049606443346	1	0	1	0	0	263	263	0	0	0
ACVR1	0	1	0	0	0	NA	NA	NA	ENST00000263640	4581	1	1	0.0218292949137743	0.0218292949137743	1	0	1	0	0	242	242	0	0.0812063364	0.0812063364
ACVR2B	1	0	0	0	0	NA	NA	NA	ENST00000352511	4608	1	0	0.0217013888888889	0	0	NA	NA	0	0	0	0	0	NA	NA
ACVRL1	0	1	0	0	0	NA	NA	NA	ENST00000388922	4527	1	1	0.0220896841175171	0.0220896841175171	1	0	1	0	0	224	224	0	0	0
ADA	1	0	0	0	0	NA	NA	NA	ENST00000372874	3267	1	0	0.0306091215182124	0	0	NA	NA	0	0	0	0	0	NA	NA
ADAM15	0	1	0	0	0	NA	NA	NA	ENST00000356955	7767	1	1	0.0128749839062701	0.0128749839062701	1	0	1	0	0	208	208	0	0.3204723506	0.3204723506
ADAM2	0	1	0	0	0	NA	NA	NA	ENST00000265708	6615	1	1	0.0151171579743008	0.0151171579743008	1	0	1	0	0	321	321	0	0.3580376315	0.3580376315
ADAM21	1	0	0	0	0	NA	NA	NA	ENST00000603540	6498	1	0	0.015389350569406	0	0	NA	NA	0	0	0	0	0	NA	NA
ADAM23	0	1	0	0	0	NA	NA	NA	ENST00000264377	7488	1	1	0.0133547008547009	0.0133547008547009	1	0	1	0	0	620	620	0	0.5825834028	0.5825834028
ADAM30	0	1	0	0	0	NA	NA	NA	ENST00000369400	7110	1	1	0.0140646976090014	0.0140646976090014	1	0	1	0	0	263	263	0	2.8121148721	2.8121148721
ADAM9	1	0	0	0	0	NA	NA	NA	ENST00000487273	7371	1	0	0.0135666802333469	0	0	NA	NA	0	0	0	0	0	NA	NA
ADAMTS13	0	1	0	0	0	NA	NA	NA	ENST00000371929	12843	1	1	0.00778634275480807	0.00778634275480807	1	0	1	0	0	548	548	0	0	0
ADAMTS14	1	0	0	0	0	NA	NA	NA	ENST00000373207	11007	1	0	0.00908512764604343	0	0	NA	NA	0	0	0	0	0	NA	NA
ADAMTS16	0	2	0	0	0	NA	NA	NA	ENST00000274181	11016	2	2	0.0181554103122731	0.0181554103122731	1	0	0.5	0	0	625	625	0	0.64287666935	0.64287666935
ADAMTS17	0	2	0	0	0	NA	NA	NA	ENST00000268070	9855	2	2	0.0202942668696093	0.0202942668696093	1	1	1	2	2	667	681	0	0	0
ADAMTS18	0	1	0	0	0	NA	NA	NA	ENST00000282849	10989	1	1	0.0091000091000091	0.0091000091000091	1	0	1	0	0	474	474	0	0	0
ADAMTS2	0	1	0	0	0	NA	NA	NA	ENST00000251582	10899	1	1	0.0091751536838242	0.0091751536838242	1	0	1	0	0	298	298	0	0.1284087713	0.1284087713
ADAMTS3	1	0	0	0	0	NA	NA	NA	ENST00000286657	10845	1	0	0.00922083909635777	0	0	NA	NA	0	0	0	0	0	NA	NA
ADAMTS6	0	0	1	0	0	NA	NA	NA	ENST00000381055	10053	1	1	0.00994727941907888	0.00994727941907888	0	NA	NA	0	0	0	0	1029	NA	NA
ADAMTS7	2	0	0	0	0	NA	NA	NA	ENST00000388820	15174	2	0	0.0131804402267036	0	0	NA	NA	0	0	0	0	0	NA	NA
ADAMTS9	0	1	0	0	0	NA	NA	NA	ENST00000498707	17415	1	1	0.00574217628481194	0.00574217628481194	1	0	1	0	0	1604	1604	0	1.173444023	1.173444023
ADAMTSL4	0	1	0	0	0	NA	NA	NA	ENST00000271643	9666	1	1	0.0103455410717981	0.0103455410717981	1	0	1	0	0	1038	1038	0	0.3846717538	0.3846717538
ADARB1	0	1	0	0	0	NA	NA	NA	ENST00000360697	6669	1	1	0.0149947518368571	0.0149947518368571	1	0	1	0	0	681	681	0	NA	NA
ADCY2	0	2	0	0	0	NA	NA	NA	ENST00000338316	9819	2	2	0.0203686729809553	0.0203686729809553	1	0	0.5	0	0	701	701	0	0.08257887895	0.08257887895
ADCY4	0	1	0	0	0	NA	NA	NA	ENST00000310677	9693	1	1	0.0103167234086454	0.0103167234086454	1	0	1	0	0	344	344	0	0	0
ADCY5	0	1	0	0	0	NA	NA	NA	ENST00000462833	11349	1	1	0.00881134901753458	0.00881134901753458	1	0	1	0	0	1071	1071	0	0.0917537088	0.0917537088
ADCY7	0	0	1	0	0	NA	NA	NA	ENST00000254235	9720	1	1	0.0102880658436214	0.0102880658436214	0	NA	NA	0	0	0	0	229	NA	NA
ADD2	0	1	0	0	0	NA	NA	NA	ENST00000264436	6534	1	1	0.0153045607591062	0.0153045607591062	1	0	1	0	0	3	3	0	0.8856241503	0.8856241503
ADD3	0	1	0	0	0	NA	NA	NA	ENST00000356080	6354	1	1	0.0157381177211206	0.0157381177211206	1	0	1	0	0	262	262	0	0.1604242516	0.1604242516
ADGB	0	2	0	0	0	NA	NA	NA	ENST00000397944	15003	2	2	0.0133306671998934	0.0133306671998934	1	0	0.5	0	0	529	529	0	1.5355646291	1.5355646291
ADGRA2	0	1	0	0	0	NA	NA	NA	ENST00000412232	12042	1	1	0.00830426839395449	0.00830426839395449	1	0	1	0	0	118	118	0	0	0
ADGRA3	0	0	0	1	0	NA	NA	NA	ENST00000334304	11889	1	1	0.00841113634452014	0.00841113634452014	0	NA	NA	0	0	0	0	992	NA	NA
ADGRB2	0	1	0	0	0	NA	NA	NA	ENST00000373658	14265	1	1	0.00701016473887136	0.00701016473887136	1	0	1	0	0	309	309	0	0.196304239	0.196304239
ADGRB3	0	1	0	0	0	NA	NA	NA	ENST00000370598	13698	1	1	0.00730033581544751	0.00730033581544751	1	0	1	0	0	405	405	0	0.1666350338	0.1666350338
ADGRD1	0	1	0	0	0	NA	NA	NA	ENST00000261654	7866	1	1	0.0127129417747267	0.0127129417747267	1	0	1	0	0	633	633	0	0.6744557311	0.6744557311
ADGRE1	0	1	0	0	0	NA	NA	NA	ENST00000312053	7974	1	1	0.0125407574617507	0.0125407574617507	1	0	1	0	0	322	322	0	0.6703765304	0.6703765304
ADGRE2	0	1	0	0	0	NA	NA	NA	ENST00000315576	7407	1	1	0.0135007425408397	0.0135007425408397	1	0	1	0	0	778	778	0	0.3216935665	0.3216935665
ADGRE3	0	1	0	0	0	NA	NA	NA	ENST00000253673	5868	1	1	0.0170415814587594	0.0170415814587594	1	0	1	0	0	463	463	0	1.0551407159	1.0551407159
ADGRE5	0	1	0	0	0	NA	NA	NA	ENST00000242786	7515	1	1	0.0133067198935462	0.0133067198935462	1	0	1	0	0	527	527	0	0	0
ADGRF3	0	1	0	0	0	NA	NA	NA	ENST00000311519	9711	1	1	0.0102976006590464	0.0102976006590464	1	0	1	0	0	81	81	0	0	0
ADGRG4	0	2	0	0	0	NA	NA	NA	ENST00000370652	27720	2	2	0.00721500721500722	0.00721500721500722	1	0	0.5	0	0	1748	1748	0	NA	NA
ADGRG6	0	1	0	0	0	NA	NA	NA	ENST00000230173	10989	1	1	0.0091000091000091	0.0091000091000091	1	0	1	0	0	783	783	0	0.7957557571	0.7957557571
ADGRL1	1	0	0	0	0	NA	NA	NA	ENST00000340736	13266	1	0	0.00753806723955978	0	0	NA	NA	0	0	0	0	0	NA	NA
ADGRL2	1	0	0	0	0	NA	NA	NA	ENST00000370717	13131	1	0	0.00761556621734826	0	0	NA	NA	0	0	0	0	0	NA	NA
ADGRL3	0	1	0	0	0	NA	NA	NA	ENST00000514591	13221	1	1	0.00756372437788367	0.00756372437788367	1	0	1	0	0	1394	1394	0	0.276946758	0.276946758
ADGRL4	0	2	0	0	0	NA	NA	NA	ENST00000370742	6210	2	2	0.0322061191626409	0.0322061191626409	2	1	1	2	2	450	450	0	0.0973492386	0.0973492386
ADGRV1	0	2	1	0	0	3.30453332081985	4.99999859131542	NA	ENST00000405460	56754	3	3	0.00528597103287874	0.00528597103287874	1	0	0.5	0	0	4039	4039	2245	0.60262824135	0.60262824135
ADH5	1	0	0	0	0	NA	NA	NA	ENST00000296412	3366	1	0	0.029708853238265	0	0	NA	NA	0	0	0	0	0	NA	NA
ADH6	1	0	0	0	0	NA	NA	NA	ENST00000237653	3312	1	0	0.0301932367149758	0	0	NA	NA	0	0	0	0	0	NA	NA
ADNP	0	1	0	0	0	NA	NA	NA	ENST00000349014	9918	1	1	0.010082677959266	0.010082677959266	1	0	1	0	0	95	95	0	NA	NA
ADNP2	0	0	0	1	0	NA	NA	NA	ENST00000262198	10179	1	1	0.00982414775518224	0.00982414775518224	0	NA	NA	0	0	0	0	146	NA	NA
ADPRM	0	1	0	0	0	NA	NA	NA	ENST00000379774	3078	1	1	0.032488628979857	0.032488628979857	1	0	1	0	0	77	77	0	0	0
ADRA1B	1	0	0	0	0	NA	NA	NA	ENST00000306675	4680	1	0	0.0213675213675214	0	0	NA	NA	0	0	0	0	0	NA	NA
ADRB3	1	0	0	0	0	NA	NA	NA	ENST00000345060	3672	1	0	0.0272331154684096	0	0	NA	NA	0	0	0	0	0	NA	NA
ADSL	0	1	0	0	0	NA	NA	NA	ENST00000623063	4356	1	1	0.0229568411386593	0.0229568411386593	1	0	1	0	0	363	363	0	0	0
ADSS	0	1	0	0	0	NA	NA	NA	ENST00000366535	4104	1	1	0.0243664717348928	0.0243664717348928	1	0	1	0	0	244	244	0	0	0
ADSSL1	0	2	0	0	0	NA	NA	NA	ENST00000330877	4113	2	2	0.0486263068319961	0.0486263068319961	1	0	0.5	0	0	86	86	0	0.04955409245	0.04955409245
AEBP1	1	1	0	0	0	NA	NA	NA	ENST00000223357	10422	2	1	0.0191901746305891	0.00959508731529457	1	0	1	0	0	556	556	0	0.6876238368	0.6876238368
AFAP1L2	0	1	0	0	0	NA	NA	NA	ENST00000304129	7362	1	1	0.0135832654170062	0.0135832654170062	1	0	1	0	0	724	724	0	NA	NA
AFF3	0	2	0	0	0	NA	NA	NA	ENST00000409236	11034	2	2	0.0181257930034439	0.0181257930034439	1	0	0.5	0	0	643	643	0	NA	NA
AFP	0	1	0	0	0	NA	NA	NA	ENST00000395792	5481	1	1	0.0182448458310527	0.0182448458310527	1	0	1	0	0	332	332	0	0.9001486686	0.9001486686
AGBL2	0	1	0	0	0	NA	NA	NA	ENST00000525123	8118	1	1	0.0123183050012318	0.0123183050012318	1	0	1	0	0	411	411	0	0.8303691461	0.8303691461
AGBL5	0	1	0	0	0	NA	NA	NA	ENST00000360131	7974	1	1	0.0125407574617507	0.0125407574617507	1	0	1	0	0	147	147	0	0.0995789404	0.0995789404
AGL	0	1	0	0	0	NA	NA	NA	ENST00000294724	13788	1	1	0.00725268349289237	0.00725268349289237	1	0	1	0	0	1242	1242	0	0.5104563582	0.5104563582
AGO3	0	1	0	0	0	NA	NA	NA	ENST00000373191	7740	1	1	0.0129198966408269	0.0129198966408269	1	0	1	0	0	109	109	0	0	0
AGXT2	1	0	0	0	0	NA	NA	NA	ENST00000231420	4626	1	0	0.0216169476869866	0	0	NA	NA	0	0	0	0	0	NA	NA
AHNAK2	2	4	0	0	0	-0.172360927907276	-4.99996417122804	NA	ENST00000333244	52155	6	4	0.0115041702617199	0.00766944684114658	1	0	0.25	0	0	1564	1564	0	0.722541163825	0.722541163825
AICDA	1	0	0	0	0	NA	NA	NA	ENST00000229335	1782	1	0	0.0561167227833895	0	0	NA	NA	0	0	0	0	0	NA	NA
AIPL1	1	0	0	0	0	NA	NA	NA	ENST00000381129	3456	1	0	0.0289351851851852	0	0	NA	NA	0	0	0	0	0	NA	NA
AJAP1	1	0	0	0	0	NA	NA	NA	ENST00000378190	3699	1	0	0.0270343336036767	0	0	NA	NA	0	0	0	0	0	NA	NA
AJUBA	0	1	0	0	0	NA	NA	NA	ENST00000262713	4842	1	1	0.0206526228831062	0.0206526228831062	1	0	1	0	0	296	296	0	0.5826986289	0.5826986289
AKAP1	0	1	0	0	0	NA	NA	NA	ENST00000337714	8127	1	1	0.0123046634674542	0.0123046634674542	1	0	1	0	0	6	6	0	0.0991734881	0.0991734881
AKAP11	0	1	0	0	0	NA	NA	NA	ENST00000025301	17109	1	1	0.00584487696533988	0.00584487696533988	1	0	1	0	0	508	508	0	1.0100993521	1.0100993521
AKAP13	0	1	0	0	0	NA	NA	NA	ENST00000394518	25317	1	1	0.00394991507682585	0.00394991507682585	1	0	1	0	0	2745	2745	0	0.1167690654	0.1167690654
AKAP4	0	1	0	0	0	NA	NA	NA	ENST00000358526	7686	1	1	0.0130106687483737	0.0130106687483737	1	0	1	0	0	771	771	0	0.2020697601	0.2020697601
AKAP8	0	1	0	0	0	NA	NA	NA	ENST00000269701	6228	1	1	0.0160565189466924	0.0160565189466924	1	0	1	0	0	122	122	0	0.3599912234	0.3599912234
AKAP8L	0	1	0	0	0	NA	NA	NA	ENST00000397410	5814	1	1	0.0171998624011008	0.0171998624011008	1	0	1	0	0	464	464	0	0.1065641264	0.1065641264
AKAP9	0	1	0	0	0	NA	NA	NA	ENST00000356239	35163	1	1	0.00284389841594858	0.00284389841594858	1	0	1	0	0	1273	1273	0	0	0
AKR1B15	0	1	0	0	0	NA	NA	NA	ENST00000457545	3096	1	1	0.0322997416020672	0.0322997416020672	1	0	1	0	0	68	68	0	0	0
AKR1D1	1	0	0	0	0	NA	NA	NA	ENST00000242375	2934	1	0	0.0340831629175187	0	0	NA	NA	0	0	0	0	0	NA	NA
ALAD	0	1	0	0	0	NA	NA	NA	ENST00000409155	2970	1	1	0.0336700336700337	0.0336700336700337	1	0	1	0	0	51	51	0	0.1112094326	0.1112094326
ALDH1L2	0	1	0	0	0	NA	NA	NA	ENST00000258494	8307	1	1	0.0120380402070543	0.0120380402070543	1	0	1	0	0	435	435	0	0	0
ALDH5A1	0	1	0	0	0	NA	NA	NA	ENST00000357578	4815	1	1	0.0207684319833853	0.0207684319833853	1	0	1	0	0	370	370	0	0.345837282	0.345837282
ALDH8A1	0	1	0	0	0	NA	NA	NA	ENST00000265605	4383	1	1	0.0228154232261008	0.0228154232261008	1	0	1	0	0	438	438	0	0.1617901629	0.1617901629
ALG10	0	2	0	0	0	NA	NA	NA	ENST00000266483	4257	2	2	0.0469814423302795	0.0469814423302795	1	0	0.5	0	0	2	2	0	0.43069526515	0.43069526515
ALK	1	0	0	0	0	NA	NA	NA	ENST00000389048	14580	1	0	0.00685871056241427	0	0	NA	NA	0	0	0	0	0	NA	NA
ALKBH1	0	1	0	0	0	NA	NA	NA	ENST00000216489	3501	1	1	0.0285632676378178	0.0285632676378178	1	0	1	0	0	147	147	0	0	0
ALOX12	0	1	0	0	0	NA	NA	NA	ENST00000251535	5967	1	1	0.0167588402882521	0.0167588402882521	1	0	1	0	0	270	270	0	0.5852734661	0.5852734661
ALOX5	0	2	0	0	0	NA	NA	NA	ENST00000374391	6066	2	2	0.0329706561160567	0.0329706561160567	1	0	0.5	0	0	79	79	0	0	0
ALPK1	0	1	0	1	0	NA	NA	NA	ENST00000177648	11196	2	2	0.0178635226866738	0.0178635226866738	1	0	1	0	0	652	652	760	NA	NA
ALX1	0	1	0	0	0	NA	NA	NA	ENST00000316824	2934	1	1	0.0340831629175187	0.0340831629175187	1	0	1	0	0	133	133	0	0	0
AMDHD2	0	0	0	0	1	NA	NA	NA	ENST00000293971	3681	1	0	0.0271665308340125	0	0	NA	NA	0	0	0	0	0	NA	NA
AMER3	0	1	0	0	0	NA	NA	NA	ENST00000321420	7749	1	1	0.0129048909536714	0.0129048909536714	1	0	1	0	0	70	70	0	1.6029926415	1.6029926415
AMHR2	0	1	0	0	0	NA	NA	NA	ENST00000257863	5157	1	1	0.0193911188675587	0.0193911188675587	1	0	1	0	0	319	319	0	0.4278067546	0.4278067546
AMOTL2	0	1	0	0	0	NA	NA	NA	ENST00000422605	7011	1	1	0.0142633005277421	0.0142633005277421	1	0	1	0	0	140	140	0	NA	NA
AMPH	0	1	0	0	0	NA	NA	NA	ENST00000356264	6255	1	1	0.0159872102318145	0.0159872102318145	1	0	1	0	0	302	302	0	0	0
AMT	1	0	0	0	0	NA	NA	NA	ENST00000273588	3627	1	0	0.0275709953129308	0	0	NA	NA	0	0	0	0	0	NA	NA
ANAPC10	0	1	0	0	0	NA	NA	NA	ENST00000309439	1665	1	1	0.0600600600600601	0.0600600600600601	1	0	1	0	0	176	176	0	0.1650746319	0.1650746319
ANAPC4	1	0	0	0	0	NA	NA	NA	ENST00000315368	7272	1	0	0.0137513751375138	0	0	NA	NA	0	0	0	0	0	NA	NA
ANGPT1	1	0	0	0	0	NA	NA	NA	ENST00000517746	4482	1	0	0.0223114680946006	0	0	NA	NA	0	0	0	0	0	NA	NA
ANK2	1	4	0	0	0	0.174795133568866	-4.99998087631546	NA	ENST00000357077	35613	5	4	0.0140398169207874	0.0112318535366299	1	0	0.25	0	0	291	291	0	0.657857022525	0.657857022525
ANK3	0	2	0	0	0	NA	NA	NA	ENST00000280772	39393	2	2	0.00507704414489884	0.00507704414489884	1	0	0.5	0	0	1577	1577	0	0.6836786434	0.6836786434
ANKAR	0	0	0	1	0	NA	NA	NA	ENST00000313581	12906	1	1	0.00774833410816674	0.00774833410816674	0	NA	NA	0	0	0	0	1380	NA	NA
ANKFN1	0	1	0	0	0	NA	NA	NA	ENST00000318698	6867	1	1	0.0145623998835008	0.0145623998835008	1	0	1	0	0	554	554	0	0.1668483367	0.1668483367
ANKH	0	1	0	0	0	NA	NA	NA	ENST00000284268	4428	1	1	0.022583559168925	0.022583559168925	1	0	1	0	0	129	129	0	0	0
ANKIB1	1	1	0	0	0	NA	NA	NA	ENST00000265742	9801	2	1	0.0204060810121416	0.0102030405060708	1	0	1	0	0	923	923	0	1.1951277766	1.1951277766
ANKRD11	1	0	0	0	0	NA	NA	NA	ENST00000301030	23967	1	0	0.00417240372178412	0	0	NA	NA	0	0	0	0	0	NA	NA
ANKRD17	0	1	0	0	0	NA	NA	NA	ENST00000358602	23427	1	1	0.00426857899005421	0.00426857899005421	1	0	1	0	0	588	588	0	0	0
ANKRD24	1	1	0	0	0	NA	NA	NA	ENST00000318934	10314	2	1	0.0193911188675587	0.00969555943377933	1	0	1	0	0	409	409	0	NA	NA
ANKRD26	0	1	0	0	0	NA	NA	NA	ENST00000376087	15390	1	1	0.00649772579597141	0.00649772579597141	1	0	1	0	0	1245	1245	0	0.7129640995	0.7129640995
ANKRD28	0	1	0	0	0	NA	NA	NA	ENST00000399451	9477	1	1	0.0105518624037143	0.0105518624037143	1	0	1	0	0	97	97	0	0	0
ANKRD30B	1	2	0	0	0	-0.5181632361191	-4.99999918798268	NA	ENST00000358984	12528	3	2	0.0239463601532567	0.0159642401021711	1	0	0.5	0	0	286	286	0	3.6251897375	3.6251897375
ANKRD30BL	0	1	0	0	0	NA	NA	NA	ENST00000409867	2322	1	1	0.0430663221360896	0.0430663221360896	1	0	1	0	0	38	38	0	NA	NA
ANKRD34B	0	1	0	0	0	NA	NA	NA	ENST00000338682	4626	1	1	0.0216169476869866	0.0216169476869866	1	0	1	0	0	175	175	0	0.8915111203	0.8915111203
ANKRD34C	0	1	0	0	0	NA	NA	NA	ENST00000421388	4815	1	1	0.0207684319833853	0.0207684319833853	1	0	1	0	0	464	464	0	0	0
ANKRD35	0	1	0	0	0	NA	NA	NA	ENST00000355594	9009	1	1	0.0111000111000111	0.0111000111000111	1	0	1	0	0	191	191	0	0.1426122369	0.1426122369
ANKRD36C	0	1	0	1	0	NA	NA	NA	ENST00000456556	16002	2	2	0.0124984376952881	0.0124984376952881	1	0	1	0	0	993	993	926	NA	NA
ANKRD46	1	0	0	0	0	NA	NA	NA	ENST00000520552	2088	1	0	0.0478927203065134	0	0	NA	NA	0	0	0	0	0	NA	NA
ANKRD50	0	1	0	0	0	NA	NA	NA	ENST00000504087	12861	1	1	0.00777544514423451	0.00777544514423451	1	0	1	0	0	744	744	0	0	0
ANKRD55	0	0	1	0	0	NA	NA	NA	ENST00000341048	5526	1	1	0.0180962721679334	0.0180962721679334	0	NA	NA	0	0	0	0	168	NA	NA
ANKS3	0	1	0	0	0	NA	NA	NA	ENST00000304283	5904	1	1	0.0169376693766938	0.0169376693766938	1	0	1	0	0	653	653	0	0.1374651509	0.1374651509
ANO5	0	1	0	0	0	NA	NA	NA	ENST00000324559	8217	1	1	0.012169891687964	0.012169891687964	1	0	1	0	0	454	454	0	1.092418217	1.092418217
ANXA2R	0	1	0	0	0	NA	NA	NA	ENST00000314890	1737	1	1	0.0575705238917674	0.0575705238917674	1	0	1	0	0	176	176	0	NA	NA
ANXA8	0	1	0	0	0	NA	NA	NA	ENST00000585281	2943	1	1	0.0339789330615019	0.0339789330615019	1	0	1	0	0	326	326	0	0.5324373241	0.5324373241
AOC3	1	0	0	0	0	NA	NA	NA	ENST00000308423	6867	1	0	0.0145623998835008	0	0	NA	NA	0	0	0	0	0	NA	NA
AP1AR	0	1	0	0	0	NA	NA	NA	ENST00000274000	2718	1	1	0.0367917586460633	0.0367917586460633	1	0	1	0	0	262	262	0	0.2135355942	0.2135355942
AP1G2	0	0	0	1	0	NA	NA	NA	ENST00000308724	7065	1	1	0.0141542816702052	0.0141542816702052	0	NA	NA	0	0	0	0	389	NA	NA
